t1_conf_thr	diff_thr	n_takeover	n_inject	n_t1_only	det38_t1_ppv	det38_trackA_ppv	rescue38_ppv	hurt38_ppv	net38_ppv	det38_t1_box	det38_trackA_box	rescue38_box	hurt38_box	net38_box	lr58_t1_ppv	lr58_trackA_ppv	delta_lr58_ppv	p58_t1_ppv	p58_trackA_ppv	lr58_t1_box	lr58_trackA_box	delta_lr58_box	p58_t1_box	p58_trackA_box	score
0.3	0.25	41	9	8	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.3	0.3	41	5	12	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.35	0.15	41	12	5	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.35	0.2	41	11	6	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.35	0.25	41	9	8	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.35	0.3	41	5	12	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.4	0.15	41	12	5	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.4	0.2	41	11	6	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.4	0.25	41	9	8	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.4	0.3	41	5	12	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.45	0.15	41	12	5	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.45	0.2	41	11	6	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.45	0.25	41	9	8	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.45	0.3	41	5	12	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.5	0.15	41	12	5	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.5	0.2	41	11	6	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.5	0.25	41	9	8	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.5	0.3	41	5	12	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.55	0.15	43	10	5	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.55	0.2	43	9	6	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.55	0.25	43	7	8	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
